"name","make","category","hp","height"
"Ninja 300","Kawasaki","Sport",35,30.9
"Ninja 650","Kawasaki","Sport",71,31.7
"Z650","Kawasaki","Sport",71,31.7
"SV650","Suzuki","Sport",75,30.9
"MT-07","Yamaha","Sport",74,31.7
"CBR 300R","Honda","Sport",27,31
"R3","Yamaha","Sport",42,31
"RC390","KTM","Sport",40,31
"Iron 883","Harley Davidson","Cruiser",47,28.2
"Vulcan S","Kawasaki","cruiser",54,28
"Star Bolt","Yamaha","cruiser",46.2,27.2
"Rebel 300","Honda","cruiser",26,7.2
"Rebel 500","Honda","cruiser",46,27.2
"Scout 60","Indian","cruiser",78,25.3
"Street 750","Harley Davidson","cruiser",55.6,27.9
"CB500x","Honda","ADV",45,31.8
"DRZ400","Suzuki","ADV",33,35
"KLR650","Kawasaki","ADV",37,35
"NC700x","Honda","ADV",51,33
"G650 GS","BMW","ADV",50,31.5
"V-Strom 650","Suzuki","ADV",66,33
"Versys-x 300","Kawasaki","ADV",34,32.1
"Versys 650","Kawasaki","ADV",60,33.1
